Player,School,Conference,QBR
Daniel Evans,North Carolina State,ACC,111.5
Nathan Enderle,Idaho,WAC,93.7
Pat Bostick,Pitt,Big East,111.7
Chris Jacquemain,Akron,MAC,111.5
Sam Hunt,UAB,CUSA,96.7
Sean Canfield,Oregon State,Pac-10,106.4
Michael Desormeaux,Louisiana,Sun Belt,109.1
Tavita Pritchard,Stanford,Pac-10,97.5
Mackenzi Adams,Vanderbilt,SEC,113.4
Zac Champion,Louisiana Tech,WAC,110.5
Bret Meyer,Iowa State,Big 12,109.3
Karsten Sween,Wyoming,MWC,108.9
Wesley Carroll,Mississippi State,SEC,104.6
Wayne Younger,Florida International,Sun Belt,87.1
Jimmy Clausen,Notre Dame,Ind,103.9
David Johnson,Tulsa,CUSA,178.7
Sam Bradford,Oklahoma,Big 12,180.8
Zac Robinson,Oklahoma State,Big 12,166.8
Tim Tebow,Florida,SEC,172.4
Nate Davis,Ball State,MAC,157.0
Matthew Stafford,Georgia,SEC,153.5
Colt McCoy,Texas,Big 12,173.8
Mark Sanchez,USC,Pac-10,164.6
Kellen Moore,Boise State,WAC,157.1
Mike Teel,Rutgers,Big East,148.1
Case Keenum,Houston,CUSA,159.9
Joe Ganz,Nebraska,Big 12,153.6
Chase Clement,Rice,CUSA,163.9
Jevan Snead,Ole Miss,SEC,145.5
Max Hall,Brigham Young,MWC,157.2
Juice Williams,Illinois,Big Ten,138.1
Adam Dimichele,Temple,MAC,148.0
Graham Harrell,Texas Tech,Big 12,160.0
Chase Daniel,Missouri,Big 12,159.4
Daryll Clark,Penn State,Big Ten,143.4
Todd Reesing,Kansas,Big 12,148.5
Trevor Vittatoe,UTEP,CUSA,146.4
Robert Griffin III,Baylor,Big 12,142.0
Willie Tuitama,Arizona,Pac-10,144.9
Josh Freeman,Kansas State,Big 12,136.5
Billy Farris,Colorado State,MWC,136.2
Matt Grothe,South Florida,Big East,135.8
Boo Jackson,Ohio,MAC,137.8
Corey Leonard,Arkansas State,Sun Belt,130.7
Ricky Stanzi,Iowa,Big Ten,134.8
Michael Desormeaux,Louisiana,Sun Belt,135.0
Brian Johnson,Utah,MWC,149.4
Jerrod Johnson,Texas A&M,Big 12,137.4
Chase Holbrook,New Mexico State,WAC,141.3
Rusty Smith,Florida Atlantic,Sun Belt,127.8
Colin Kaepernick,Nevada,WAC,132.1
Dan Lefevour,Central Michigan,MAC,144.2
Patrick Pinkney,East Carolina,CUSA,131.3
Tony Pike,Cincinnati,Big East,136.4
Paul McCall,Florida International,Sun Belt,124.4
Joe Craddock,Middle Tennessee State,Sun Belt,135.5
Andy Dalton,Texas Christian,MWC,129.2
Omar Clayton,UNLV,MWC,140.5
Jeremiah Masoli,Oregon,Pac-10,132.0
Jimmy Clausen,Notre Dame,Ind,132.5
Tom Brandstater,Fresno State,WAC,129.4
Cullen Harper,Clemson,ACC,126.2
Casey Dick,Arkansas,SEC,122.4
Chandler Harnish,Northern Illinois,MAC,120.7
Tim Hiller,Western Michigan,MAC,143.8
Drew Willy,Buffalo,MAC,139.3
Rudy Carpenter,Arizona State,Pac-10,130.3
Bill Stull,Pitt,Big East,119.9
Russell Wilson,North Carolina State,ACC,133.9
Bo Levi Mitchell,SMU,CUSA,124.4
Austen Arnaud,Iowa State,Big 12,127.4
Lyle Moevao,Oregon State,Pac-10,128.4
John Parker Wilson,Alabama,SEC,122.3
Jarrett Lee,LSU,SEC,116.9
Diondre Borel,Utah State,WAC,122.1
Austin Davis,Southern Mississippi,CUSA,128.6
Chris Jacquemain,Akron,MAC,125.3
Brian Hoyer,Michigan State,Big Ten,111.5
Arkelon Hall,Memphis,CUSA,121.7
Adam Weber,Minnesota,Big Ten,126.9
Chris Turner,Maryland,ACC,119.3
Joe Webb,UAB,CUSA,115.5
Pat White,West Virginia,Big East,142.3
Hunter Cantwell,Louisville,Big East,119.7
Kevin Moore,Tulane,CUSA,111.3
Julian Edelman,Kent State,MAC,118.8
Tyler Sheehan,Bowling Green State,MAC,133.6
Riley Skinner,Wake Forest,ACC,126.2
Kinsmon Lancaster,Louisiana-Monroe,Sun Belt,128.7
Chris Smelley,South Carolina,SEC,114.8
Tavita Pritchard,Stanford,Pac-10,114.6
Andy Schmitt,Eastern Michigan,MAC,123.9
Curtis Painter,Purdue,Big Ten,118.6
Christian Ponder,Florida State,ACC,115.0
Ryan Lindley,San Diego State,MWC,117.0
Levi Brown,Troy,Sun Belt,127.3
Kyle Reed,San Jose State,WAC,122.9
Kevin Riley,California,Pac-10,117.8
Nathan Enderle,Idaho,WAC,115.2
Robert Marve,Miami (FL),ACC,107.2
C.J. Bacher,Northwestern,Big Ten,116.5
Thaddeus Lewis,Duke,ACC,123.0
Cody Hawkins,Colorado,Big 12,118.1
Kellen Lewis,Indiana,Big Ten,108.2
Aaron Opelt,Toledo,MAC,115.3
Marc Verica,Virginia,ACC,110.6
Mark Cann,Marshall,CUSA,105.1
Tyson Lee,Mississippi State,SEC,113.0
Daniel Raudabaugh,Miami (OH),MAC,109.0
Giovanni Vizza,North Texas,Sun Belt,113.2
Kevin Craft,UCLA,Pac-10,98.7
Kevin Craft,UCLA,Pac-10,98.7
Chris Crane,Boston College,ACC,104.4
Brad Gruner,New Mexico,MWC,100.0
David Wolke,Western Kentucky,Sun Belt,99.5
David Wolke,Western Kentucky,Sun Belt,99.5
Steven Threet,Michigan,Big Ten,105.3
Mike Hartline,Kentucky,SEC,104.7
Ronnie Fouch,Washington,Pac-10,85.1
Cameron Dantley,Syracuse,Big East,102.1
Tyrod Taylor,Virginia Tech,ACC,149.4
Nathan Enderle,Idaho,WAC,157.3
Tim Tebow,Florida,SEC,164.2
Ryan Mallett,Arkansas,SEC,152.5
Andrew Luck,Stanford,Pac-10,143.5
Jimmy Clausen,Notre Dame,Ind,161.4
Max Hall,Brigham Young,MWC,160.1
B.J. Daniels,South Florida,Big East,139.5
Andy Dalton,Texas Christian,MWC,151.8
Joe Webb,UAB,CUSA,150.7
Levi Brown,Troy,Sun Belt,146.1
Jacory Harris,Miami (FL),ACC,140.1
Ryan Colburn,Fresno State,WAC,143.7
Trey Revell,Louisiana-Monroe,Sun Belt,134.6
Kellen Moore,Boise State,WAC,161.7
Scott Tolzien,Wisconsin,Big Ten,143.0
Kirk Cousins,Michigan State,Big Ten,142.6
Bill Stull,Pitt,Big East,150.6
Case Keenum,Houston,CUSA,154.8
Blaine Gabbert,Missouri,Big 12,140.5
Trevor Vittatoe,UTEP,CUSA,130.1
Martevious Young,Southern Mississippi,CUSA,145.7
Russell Wilson,North Carolina State,ACC,147.8
Chris Todd,Auburn,SEC,145.7
Chris Todd,Auburn,SEC,145.7
Ricky Stanzi,Iowa,Big Ten,131.6
Riley Skinner,Wake Forest,ACC,147.8
Daryll Clark,Penn State,Big Ten,142.6
Diondre Borel,Utah State,WAC,137.8
G.J. Kinne,Tulsa,CUSA,142.6
Matt Barkley,USC,Pac-10,131.3
Joe Cox,Georgia,SEC,136.3
Tom Savage,Rutgers,Big East,128.7
Greg McElroy,Alabama,SEC,140.5
Aaron Opelt,Toledo,MAC,135.8
Terrance Cain,Utah,MWC,139.4
Colt McCoy,Texas,Big 12,147.4
Dan Lefevour,Central Michigan,MAC,150.3
Kevin Riley,California,Pac-10,128.7
Jevan Snead,Ole Miss,SEC,124.8
Tony Pike,Cincinnati,Big East,149.8
Bryant Moniz,Hawaii,WAC,128.4
Grant Stucker,Colorado State,MWC,121.9
Chandler Harnish,Northern Illinois,MAC,137.9
Jeff Van Camp,Florida Atlantic,Sun Belt,141.2
Thaddeus Lewis,Duke,ACC,134.5
Brett Hodges,UCF,CUSA,131.3
Brett Hodges,UCF,CUSA,131.3
Todd Reesing,Kansas,Big 12,134.9
Taylor Potts,Texas Tech,Big 12,137.1
Sean Canfield,Oregon State,Pac-10,141.9
Jonathan Crompton,Tennessee,SEC,136.0
Jordan Jefferson,LSU,SEC,137.2
Spencer Keith,Kent State,MAC,126.7
Colin Kaepernick,Nevada,WAC,139.1
Tate Forcier,Michigan,Big Ten,128.1
Jerrod Johnson,Texas A&M,Big 12,136.7
Jarrett Brown,West Virginia,Big East,130.2
Ross Jenkins,Louisiana Tech,WAC,135.9
Juice Williams,Illinois,Big Ten,129.4
Landry Jones,Oklahoma,Big 12,130.8
Jake Locker,Washington,Pac-10,130.1
Zach Maynard,Buffalo,MAC,125.0
Zac Lee,Nebraska,Big 12,126.9
Terrelle Pryor,Ohio State,Big Ten,128.9
Dave Shinskie,Boston College,ACC,119.0
Greg Paulus,Syracuse,Big East,132.6
Tyler Sheehan,Bowling Green State,MAC,137.1
Mike Kafka,Northwestern,Big Ten,129.3
Ryan Lindley,San Diego State,MWC,123.4
Joey Elliott,Purdue,Big Ten,131.1
Dwight Dasher,Middle Tennessee State,Sun Belt,125.6
Adam Weber,Minnesota,Big Ten,114.7
Jeremiah Masoli,Oregon,Pac-10,129.5
Ben Chappell,Indiana,Big Ten,126.4
Theo Scott,Ohio,MAC,128.5
Zac Robinson,Oklahoma State,Big 12,126.4
Kyle Parker,Clemson,ACC,124.4
Omar Clayton,UNLV,MWC,123.4
Chris Turner,Maryland,ACC,121.1
Patrick Pinkney,East Carolina,CUSA,120.9
Kevin Prince,UCLA,Pac-10,115.5
Austen Arnaud,Iowa State,Big 12,121.3
Nick Florence,Baylor,Big 12,119.1
Corey Leonard,Arkansas State,Sun Belt,115.7
Stephen Garcia,South Carolina,SEC,119.3
Brian Anderson,Marshall,CUSA,119.0
Zac Dysert,Miami (OH),MAC,118.2
Chris Masson,Louisiana,Sun Belt,118.3
Riley Dodge,North Texas,Sun Belt,122.3
Will Hudgens,Memphis,CUSA,120.3
Tyson Lee,Mississippi State,SEC,107.0
Vaughn Charlton,Temple,MAC,110.2
Tim Hiller,Western Michigan,MAC,122.9
Paul McCall,Florida International,Sun Belt,117.6
Jordan La Secla,San Jose State,WAC,116.7
Jameel Sewell,Virginia,ACC,110.0
Danny Sullivan,Arizona State,Pac-10,110.9
Kawaun Jakes,Western Kentucky,Sun Belt,117.6
Ryan Griffin,Tulane,CUSA,123.8
Nick Foles,Arizona,Pac-10,125.2
T.J. Yates,North Carolina,ACC,115.4
Austyn Carta-Samuels,Wyoming,MWC,116.0
Nick Fanuzzi,Rice,CUSA,117.2
Donovan Porterie,New Mexico,MWC,107.7
Larry Smith,Vanderbilt,SEC,88.0
Cam Newton,Auburn,SEC,182.0
Kellen Moore,Boise State,WAC,182.6
Greg McElroy,Alabama,SEC,169.0
Ryan Mallett,Arkansas,SEC,163.6
Scott Tolzien,Wisconsin,Big Ten,165.9
Bryant Moniz,Hawaii,WAC,159.1
Ryan Lindley,San Diego State,MWC,149.4
Jeff Godfrey,UCF,CUSA,154.3
Jeffrey Godfrey,UCF,CUSA,154.3
Andrew Luck,Stanford,Pac-10,170.2
Andy Dalton,Texas Christian,MWC,166.5
Aaron Murray,Georgia,SEC,154.5
Stephen Garcia,South Carolina,SEC,148.7
Denard Robinson,Michigan,Big Ten,149.6
Ricky Stanzi,Iowa,Big Ten,157.6
Tyrod Taylor,Virginia Tech,ACC,154.8
Chandler Harnish,Northern Illinois,MAC,157.8
Terrelle Pryor,Ohio State,Big Ten,157.9
Dan Persa,Northwestern,Big Ten,159.0
Brandon Weeden,Oklahoma State,Big 12,154.1
Colin Kaepernick,Nevada,WAC,150.5
Kirk Cousins,Michigan State,Big Ten,150.7
T.J. Yates,North Carolina,ACC,145.5
Chris Relf,Mississippi State,SEC,141.0
Darron Thomas,Oregon,Pac-10,151.0
G.J. Kinne,Tulsa,CUSA,144.3
Mike Hartline,Kentucky,SEC,146.4
Ryan Colburn,Fresno State,WAC,144.9
Jordan Wynn,Utah,MWC,139.9
Carson Coffman,Kansas State,Big 12,143.1
Robert Griffin III,Baylor,Big 12,144.2
Boo Jackson,Ohio,MAC,136.2
Landry Jones,Oklahoma,Big 12,146.3
Zach Collaros,Cincinnati,Big East,137.5
Jeff Tuel,Washington State,Pac-10,133.3
Kyle Padron,SMU,CUSA,137.4
Nick Foles,Arizona,Pac-10,140.9
Steven Threet,Arizona State,Pac-10,133.4
Matt Simms,Tennessee,SEC,129.3
Corey Robinson,Troy,Sun Belt,137.9
Matt Barkley,USC,Pac-10,141.2
Geno Smith,West Virginia,Big East,144.7
Tino Sunseri,Pitt,Big East,137.0
Alex Carder,Western Michigan,MAC,140.6
Jordan La Secla,San Jose State,WAC,125.8
Adam Weber,Minnesota,Big Ten,129.9
Jeff Van Camp,Florida Atlantic,Sun Belt,128.0
Chas Dodd,Rutgers,Big East,126.8
Ryan Radcliff,Central Michigan,MAC,125.8
Bryan Ellis,UAB,CUSA,130.5
Ryan Aplin,Arkansas State,Sun Belt,133.2
Danny O'Brien,Maryland,ACC,134.5
Ryan Williams,Memphis,CUSA,124.9
Ryan Williams,Memphis,CUSA,124.9
Marc Verica,Virginia,ACC,122.8
Wesley Carroll,Florida International,Sun Belt,128.4
Alex Gillett,Eastern Michigan,MAC,122.7
Austin Davis,Southern Mississippi,CUSA,134.1
Zac Dysert,Miami (OH),MAC,129.2
Nick Fanuzzi,Rice,CUSA,128.8
Ryan Tannehill,Texas A&M,Big 12,137.0
Nathan Enderle,Idaho,WAC,123.4
Jeremiah Masoli,Ole Miss,SEC,121.1
Nathan Scheelhaase,Illinois,Big Ten,132.0
B.J. Daniels,South Florida,Big East,120.3
Taylor Potts,Texas Tech,Big 12,141.1
Russell Wilson,North Carolina State,ACC,127.5
Ben Chappell,Indiana,Big Ten,132.5
Trevor Vittatoe,UTEP,CUSA,122.4
Pete Thomas,Colorado State,MWC,124.5
Kolton Browning,Louisiana-Monroe,Sun Belt,128.0
Ryan Katz,Oregon State,Pac-10,127.3
Jake Locker,Washington,Pac-10,124.2
Christian Ponder,Florida State,ACC,135.7
Austyn Carta-Samuels,Wyoming,MWC,123.3
Jordan Jefferson,LSU,SEC,114.7
Blaine Gabbert,Missouri,Big 12,127.0
Sean Renfree,Duke,ACC,120.7
Diondre Borel,Utah State,WAC,109.7
Cody Hawkins,Colorado,Big 12,125.6
Chris Masson,Louisiana,Sun Belt,116.8
Jacory Harris,Miami (FL),ACC,116.6
Dominique Davis,East Carolina,CUSA,134.0
Ryan Nassib,Syracuse,Big East,124.2
Kyle Parker,Clemson,ACC,117.2
Ryan Griffin,Tulane,CUSA,121.6
Omar Clayton,UNLV,MWC,118.6
Ross Jenkins,Louisiana Tech,WAC,126.8
John Brantley,Florida,SEC,116.4
Garrett Gilbert,Texas,Big 12,111.0
Brian Anderson,Marshall,CUSA,117.7
Spencer Keith,Kent State,MAC,111.3
Richard Brehaut,UCLA,Pac-10,110.2
Jake Heaps,Brigham Young,MWC,116.2
Matt Schilz,Bowling Green State,MAC,109.8
Jerry Davis,Buffalo,MAC,104.0
Austen Arnaud,Iowa State,Big 12,116.2
Kawaun Jakes,Western Kentucky,Sun Belt,106.9
Keith Wenning,Ball State,MAC,111.3
Tanner Price,Wake Forest,ACC,106.8
Jordan Webb,Kansas,Big 12,106.8
Zach Frazer,Connecticut,Big East,99.7
Patrick Nicely,Akron,MAC,95.3
Larry Smith,Vanderbilt,SEC,94.3
Robert Griffin III,Baylor,Big 12,189.5
Russell Wilson,Wisconsin,Big Ten,191.8
Case Keenum,Houston,CUSA,174.0
Bryn Renner,North Carolina,ACC,159.4
Terrance Owens,Toledo,MAC,169.2
Kellen Moore,Boise State,MWC,175.2
Andrew Luck,Stanford,Pac-12,169.7
Blaine Gautier,Louisiana,Sun Belt,153.6
E.J. Manuel,Florida State,ACC,151.2
Keith Price,Washington,Pac-12,161.9
Casey Pachall,Texas Christian,MWC,158.0
John Brantley,Florida,SEC,140.8
Riley Nelson,Brigham Young,Ind,152.9
Riley Nelson,Brigham Young,Ind,152.9
Brandon Weeden,Oklahoma State,Big 12,159.7
Chandler Harnish,Northern Illinois,MAC,153.0
Denard Robinson,Michigan,Big Ten,139.7
Geno Smith,West Virginia,Big East,152.6
Tyler Wilson,Arkansas,SEC,148.4
Jacory Harris,Miami (FL),ACC,150.6
Jeff Godfrey,UCF,CUSA,140.5
Kevin Prince,UCLA,Pac-12,135.3
Darron Thomas,Oregon,Pac-12,158.7
Tyler Tettleton,Ohio,MAC,148.9
A.J. McCarron,Alabama,SEC,147.3
Dan Persa,Northwestern,Big Ten,154.8
Landry Jones,Oklahoma,Big 12,141.6
Derek Carr,Fresno State,WAC,144.5
Matt Barkley,USC,Pac-12,161.2
Kirk Cousins,Michigan State,Big Ten,145.1
G.J. Kinne,Tulsa,CUSA,147.4
Brock Osweiler,Arizona State,Pac-12,140.5
Zac Dysert,Miami (OH),MAC,143.7
Aaron Murray,Georgia,SEC,146.4
Cody Fajardo,Nevada,WAC,138.2
Nick Foles,Arizona,Pac-12,145.6
Alex Carder,Western Michigan,MAC,145.3
Tajh Boyd,Clemson,ACC,141.2
Logan Thomas,Virginia Tech,ACC,135.5
Nick Lamaison,UTEP,CUSA,131.2
James Franklin,Missouri,Big 12,139.9
Marshall Lobbestael,Washington State,Pac-12,138.3
Alex Gillett,Eastern Michigan,MAC,135.1
Ryan Aplin,Arkansas State,Sun Belt,133.6
J.J. McDermott,SMU,CUSA,128.2
J.J. McDermott,SMU,CUSA,128.2
Matt Faulkner,San Jose State,WAC,131.6
James Vandenberg,Iowa,Big Ten,138.5
Austin Davis,Southern Mississippi,CUSA,138.2
Zach Maynard,California,Pac-12,127.0
Ryan Radcliff,Central Michigan,MAC,128.8
Matt Schilz,Bowling Green State,MAC,137.2
Michael Rocco,Virginia,ACC,127.1
Nathan Scheelhaase,Illinois,Big Ten,133.4
Taylor Martinez,Nebraska,Big Ten,126.5
Wesley Carroll,Florida International,Sun Belt,131.8
Teddy Bridgewater,Louisville,Big East,132.4
Ryan Tannehill,Texas A&M,Big 12,133.2
Ryan Lindley,San Diego State,MWC,125.7
Tanner Price,Wake Forest,ACC,132.8
B.J. Daniels,South Florida,Big East,126.7
Zach Collaros,Cincinnati,Big East,131.8
Jordan Rodgers,Vanderbilt,SEC,113.8
Sean Mannion,Oregon State,Pac-12,127.1
Tyler Hansen,Colorado,Pac-12,125.5
Tommy Rees,Notre Dame,Ind,133.4
Marqueis Gray,Minnesota,Big Ten,114.5
Seth Doege,Texas Tech,Big 12,138.9
Bryant Moniz,Hawaii,WAC,136.1
Caleb Terbush,Purdue,Big Ten,130.7
Tino Sunseri,Pitt,Big East,124.1
Rakeem Cato,Marshall,CUSA,125.8
Jonathan Perry,UAB,CUSA,120.8
Collin Klein,Kansas State,Big 12,125.6
Matt McGloin,Penn State,Big Ten,118.3
Gary Nova,Rutgers,Big East,116.6
Jon Hays,Utah,Pac-12,124.4
Corey Robinson,Troy,Sun Belt,126.3
Mike Glennon,North Carolina State,ACC,136.4
Sean Renfree,Duke,ACC,126.5
Jordan Webb,Kansas,Big 12,126.7
Kawaun Jakes,Western Kentucky,Sun Belt,115.1
Dominique Davis,East Carolina,CUSA,131.5
Ryan Nassib,Syracuse,Big East,129.9
Derek Thompson,North Texas,Sun Belt,121.0
Brett Smith,Wyoming,MWC,124.6
Johnny McEntee,Connecticut,Big East,111.3
B.R. Holbrook,New Mexico,MWC,112.4
Keith Wenning,Ball State,MAC,125.1
Chase Rettig,Boston College,ACC,112.4
Danny O'Brien,Maryland,ACC,109.6
Pete Thomas,Colorado State,MWC,116.1
Ryan Griffin,Tulane,CUSA,112.8
Logan Kilgore,Middle Tennessee State,Sun Belt,119.7
Chazz Anderson,Buffalo,MAC,111.9
Kolton Browning,Louisiana-Monroe,Sun Belt,114.4
Taylor Reed,Memphis,CUSA,113.9
Nick Isham,Louisiana Tech,WAC,112.8
Brian Reader,Idaho,WAC,103.6
Clayton Moore,Akron,MAC,96.3
Spencer Keith,Kent State,MAC,100.8
Graham Wilbert,Florida Atlantic,Sun Belt,91.7
Caleb Herring,UNLV,MWC,102.8
Aaron Murray,Georgia,SEC,174.8
Nick Florence,Baylor,Big 12,157.5
David Fales,San Jose State,WAC,170.8
A.J. McCarron,Alabama,SEC,175.3
Tajh Boyd,Clemson,ACC,165.6
Terrence Broadway,Louisiana,Sun Belt,153.4
Teddy Bridgewater,Louisville,Big East,160.5
E.J. Manuel,Florida State,ACC,156.1
Collin Klein,Kansas State,Big 12,149.2
Brett Smith,Wyoming,MWC,157.7
Connor Shaw,South Carolina,SEC,158.1
Johnny Manziel,Texas A&M,SEC,155.3
Matt Barkley,USC,Pac-12,157.6
Taylor Kelly,Arizona State,Pac-12,159.9
David Ash,Texas,Big 12,153.3
Tyler Wilson,Arkansas,SEC,143.8
Tino Sunseri,Pitt,Big East,151.5
Chuckie Keeton,Utah State,WAC,154.7
Ryan Aplin,Arkansas State,Sun Belt,154.7
Geno Smith,West Virginia,Big 12,163.9
Bo Wallace,Ole Miss,SEC,142.7
Jake Medlock,Florida International,Sun Belt,140.5
Derek Carr,Fresno State,MWC,155.9
Ryan Nassib,Syracuse,Big East,143.3
Tyler Bray,Tennessee,SEC,146.3
Bryn Renner,North Carolina,ACC,150.8
Jordan Lynch,Northern Illinois,MAC,144.9
Corey Robinson,Troy,Sun Belt,139.0
Marcus Mariota,Oregon,Pac-12,163.2
Jordan Rodgers,Vanderbilt,SEC,139.1
Kawaun Jakes,Western Kentucky,Sun Belt,147.3
Braxton Miller,Ohio State,Big Ten,140.5
Colby Cameron,Louisiana Tech,WAC,153.2
Stephen Morris,Miami (FL),ACC,138.1
Sean Mannion,Oregon State,Pac-12,138.8
Seth Doege,Texas Tech,Big 12,153.4
Brett Hundley,UCLA,Pac-12,147.7
Ryan Radcliff,Central Michigan,MAC,139.0
Taylor Martinez,Nebraska,Big Ten,141.6
Landry Jones,Oklahoma,Big 12,144.6
Blake Bortles,UCF,CUSA,144.5
Tyler Tettleton,Ohio,MAC,141.2
Terrance Owens,Toledo,MAC,135.0
Logan Kilgore,Middle Tennessee State,Sun Belt,139.9
Cody Fajardo,Nevada,MWC,143.9
Everett Golson,Notre Dame,Ind,131.0
Shane Carden,East Carolina,CUSA,143.0
Austin Brown,UAB,CUSA,128.2
Zach Maynard,California,Pac-12,130.3
Munchie Legaux,Cincinnati,Big East,125.7
Tyler Russell,Mississippi State,SEC,135.4
Joe Southwick,Boise State,MWC,141.8
Chandler Whitmer,Connecticut,Big East,119.0
Zach Mettenberger,LSU,SEC,128.3
Eric Soza,UTSA,WAC,142.2
Matt Scott,Arizona,Pac-12,133.5
Zac Dysert,Miami (OH),MAC,136.1
Matt McGloin,Penn State,Big Ten,137.7
Rakeem Cato,Marshall,CUSA,147.1
Andrew Manley,New Mexico State,WAC,124.1
B.J. Daniels,South Florida,Big East,126.0
Michael Rocco,Virginia,ACC,129.7
Mike Glennon,North Carolina State,ACC,130.7
Sean Renfree,Duke,ACC,136.3
Kolton Browning,Louisiana-Monroe,Sun Belt,141.3
Derek Thompson,North Texas,Sun Belt,121.8
Shaun Rutherford,Texas State,WAC,137.8
Tyler Benz,Eastern Michigan,MAC,127.7
Ryan Griffin,Tulane,CUSA,132.4
Trevone Boykin,Texas Christian,Big 12,126.4
Tyler Van Tubbergen,Western Michigan,MAC,130.2
Logan Thomas,Virginia Tech,ACC,115.9
Graham Wilbert,Florida Atlantic,Sun Belt,134.5
Gary Nova,Rutgers,Big East,125.8
Jacob Karam,Memphis,CUSA,137.0
Robert Marve,Purdue,Big Ten,138.8
Taylor McHargue,Rice,CUSA,125.9
Keith Wenning,Ball State,MAC,134.8
Cameron Coffman,Indiana,Big Ten,123.9
Nick Lamaison,UTEP,CUSA,114.8
Jeff Driskel,Florida,SEC,132.2
James Franklin,Missouri,SEC,123.6
Chase Rettig,Boston College,ACC,115.7
Dalton Williams,Akron,MAC,126.6
David Piland,Houston,CUSA,118.5
Riley Nelson,Brigham Young,Ind,119.1
Riley Nelson,Brigham Young,Ind,119.1
Connor Halliday,Washington State,Pac-12,114.5
Travis Wilson,Utah,Pac-12,122.2
Keith Price,Washington,Pac-12,122.4
Matt Schilz,Bowling Green State,MAC,113.2
Jeff Tuel,Washington State,Pac-12,119.5
Cody Green,Tulsa,CUSA,114.5
Cody Green,Tulsa,CUSA,114.5
Ross Metheny,South Alabama,Sun Belt,111.6
Ross Metheny,South Alabama,Sun Belt,111.6
Phillip Sims,Virginia,ACC,119.1
Phillip Sims,Virginia,ACC,119.1
Spencer Keith,Kent State,MAC,111.8
Dayne Crist,Kansas,Big 12,96.5
Nick Sherry,UNLV,MWC,107.6
Steele Jantz,Iowa State,Big 12,119.2
