Year,Rank,School
1986,1,Penn State
1986,2,Miami (FL)
1986,3,Oklahoma
1986,4,Arizona State
1986,5,Nebraska
1986,6,Auburn
1986,7,Ohio State
1986,8,Michigan
1986,9,Alabama
1986,10,LSU
1986,11,Arizona
1986,12,Baylor
1986,13,Texas A&M
1986,14,UCLA
1986,15,Arkansas
1986,16,Iowa
1986,17,Clemson
1986,18,Washington
1986,19,Boston College
1986,20,Virginia Tech
1987,1,Miami (FL)
1987,2,Florida State
1987,3,Oklahoma
1987,4,Syracuse
1987,5,LSU
1987,6,Nebraska
1987,7,Auburn
1987,8,Michigan State
1987,9,UCLA
1987,10,Texas A&M
1987,11,Oklahoma State
1987,12,Clemson
1987,13,Georgia
1987,14,Tennessee
1987,15,South Carolina
1987,16,Iowa
1987,17,Notre Dame
1987,18,USC
1987,19,Michigan
1987,20,Arizona State
1988,1,Notre Dame
1988,2,Miami (FL)
1988,3,Florida State
1988,4,Michigan
1988,5,West Virginia
1988,6,UCLA
1988,7,USC
1988,8,Auburn
1988,9,Clemson
1988,10,Nebraska
1988,11,Oklahoma State
1988,12,Arkansas
1988,13,Syracuse
1988,14,Oklahoma
1988,15,Georgia
1988,16,Washington State
1988,17,Alabama
1988,18,Houston
1988,19,LSU
1988,20,Indiana
1989,1,Miami (FL)
1989,2,Notre Dame
1989,3,Florida State
1989,4,Colorado
1989,5,Tennessee
1989,6,Auburn
1989,7,Michigan
1989,8,USC
1989,9,Alabama
1989,10,Illinois
1989,11,Nebraska
1989,12,Clemson
1989,13,Arkansas
1989,14,Houston
1989,15,Penn State
1989,16,Michigan State
1989,17,Pitt
1989,18,Virginia
1989,19,Texas Tech
1989,20,Texas A&M
1989,21,West Virginia
1989,22,Brigham Young
1989,23,Washington
1989,24,Ohio State
1989,25,Arizona
1990,1,Colorado
1990,2,Georgia Tech
1990,3,Miami (FL)
1990,4,Florida State
1990,5,Washington
1990,6,Notre Dame
1990,7,Michigan
1990,8,Tennessee
1990,9,Clemson
1990,10,Houston
1990,11,Penn State
1990,12,Texas
1990,13,Florida
1990,14,Louisville
1990,15,Texas A&M
1990,16,Michigan State
1990,17,Oklahoma
1990,18,Iowa
1990,19,Auburn
1990,20,USC
1990,21,Ole Miss
1990,22,Brigham Young
1990,23,Virginia
1990,24,Nebraska
1990,25,Illinois
1991,1,Miami (FL)
1991,2,Washington
1991,3,Penn State
1991,4,Florida State
1991,5,Alabama
1991,6,Michigan
1991,7,Florida
1991,8,California
1991,9,East Carolina
1991,10,Iowa
1991,11,Syracuse
1991,12,Texas A&M
1991,13,Notre Dame
1991,14,Tennessee
1991,15,Nebraska
1991,16,Oklahoma
1991,17,Georgia
1991,18,Clemson
1991,19,UCLA
1991,20,Colorado
1991,21,Tulsa
1991,22,Stanford
1991,23,Brigham Young
1991,24,North Carolina State
1991,25,Air Force
1992,1,Alabama
1992,2,Florida State
1992,3,Miami (FL)
1992,4,Notre Dame
1992,5,Michigan
1992,6,Syracuse
1992,7,Texas A&M
1992,8,Georgia
1992,9,Stanford
1992,10,Florida
1992,11,Washington
1992,12,Tennessee
1992,13,Colorado
1992,14,Nebraska
1992,15,Washington State
1992,16,Ole Miss
1992,17,North Carolina State
1992,18,Ohio State
1992,19,North Carolina
1992,20,Hawaii
1992,21,Boston College
1992,22,Kansas
1992,23,Mississippi State
1992,24,Fresno State
1992,25,Wake Forest
1993,1,Florida State
1993,2,Notre Dame
1993,3,Nebraska
1993,4,Auburn
1993,5,Florida
1993,6,Wisconsin
1993,7,West Virginia
1993,8,Penn State
1993,9,Texas A&M
1993,10,Arizona
1993,11,Ohio State
1993,12,Tennessee
1993,13,Boston College
1993,14,Alabama
1993,15,Miami (FL)
1993,16,Colorado
1993,17,Oklahoma
1993,18,UCLA
1993,19,North Carolina
1993,20,Kansas State
1993,21,Michigan
1993,22,Virginia Tech
1993,23,Clemson
1993,24,Louisville
1993,25,California
1994,1,Nebraska
1994,2,Penn State
1994,3,Colorado
1994,4,Florida State
1994,5,Alabama
1994,6,Miami (FL)
1994,7,Florida
1994,8,Texas A&M
1994,9,Auburn
1994,10,Utah
1994,11,Oregon
1994,12,Michigan
1994,13,USC
1994,14,Ohio State
1994,15,Virginia
1994,16,Colorado State
1994,17,North Carolina State
1994,18,Brigham Young
1994,19,Kansas State
1994,20,Arizona
1994,21,Washington State
1994,22,Tennessee
1994,23,Boston College
1994,24,Mississippi State
1994,25,Texas
1995,1,Nebraska
1995,2,Florida
1995,3,Tennessee
1995,4,Florida State
1995,5,Colorado
1995,6,Ohio State
1995,7,Kansas State
1995,8,Northwestern
1995,9,Kansas
1995,10,Virginia Tech
1995,11,Notre Dame
1995,12,USC
1995,13,Penn State
1995,14,Texas
1995,15,Texas A&M
1995,16,Virginia
1995,17,Michigan
1995,18,Oregon
1995,19,Syracuse
1995,20,Miami (FL)
1995,21,Alabama
1995,22,Auburn
1995,23,Texas Tech
1995,24,Toledo
1995,25,Iowa
1996,1,Florida
1996,2,Ohio State
1996,3,Florida State
1996,4,Arizona State
1996,5,Brigham Young
1996,6,Nebraska
1996,7,Penn State
1996,8,Colorado
1996,9,Tennessee
1996,10,North Carolina
1996,11,Alabama
1996,12,LSU
1996,13,Virginia Tech
1996,14,Miami (FL)
1996,15,Northwestern
1996,16,Washington
1996,17,Kansas State
1996,18,Iowa
1996,19,Notre Dame
1996,20,Michigan
1996,21,Syracuse
1996,22,Wyoming
1996,23,Texas
1996,24,Auburn
1996,25,Army
1997,1,Michigan
1997,2,Nebraska
1997,3,Florida State
1997,4,Florida
1997,5,UCLA
1997,6,North Carolina
1997,7,Tennessee
1997,8,Kansas State
1997,9,Washington State
1997,10,Georgia
1997,11,Auburn
1997,12,Ohio State
1997,13,LSU
1997,14,Arizona State
1997,15,Purdue
1997,16,Penn State
1997,17,Colorado State
1997,18,Washington
1997,19,Southern Mississippi
1997,20,Texas A&M
1997,21,Syracuse
1997,22,Ole Miss
1997,23,Missouri
1997,24,Oklahoma State
1997,25,Georgia Tech
1998,1,Tennessee
1998,2,Ohio State
1998,3,Florida State
1998,4,Arizona
1998,5,Florida
1998,6,Wisconsin
1998,7,Tulane
1998,8,UCLA
1998,9,Georgia Tech
1998,10,Kansas State
1998,11,Texas A&M
1998,12,Michigan
1998,13,Air Force
1998,14,Georgia
1998,15,Texas
1998,16,Arkansas
1998,17,Penn State
1998,18,Virginia
1998,19,Nebraska
1998,20,Miami (FL)
1998,21,Missouri
1998,22,Notre Dame
1998,23,Virginia Tech
1998,24,Purdue
1998,25,Syracuse
1999,1,Florida State
1999,2,Virginia Tech
1999,3,Nebraska
1999,4,Wisconsin
1999,5,Michigan
1999,6,Kansas State
1999,7,Michigan State
1999,8,Alabama
1999,9,Tennessee
1999,10,Marshall
1999,11,Penn State
1999,12,Florida
1999,13,Mississippi State
1999,14,Southern Mississippi
1999,15,Miami (FL)
1999,16,Georgia
1999,17,Arkansas
1999,18,Minnesota
1999,19,Oregon
1999,20,Georgia Tech
1999,21,Texas
1999,22,Ole Miss
1999,23,Texas A&M
1999,24,Illinois
1999,25,Purdue
2000,1,Oklahoma
2000,2,Miami (FL)
2000,3,Washington
2000,4,Oregon State
2000,5,Florida State
2000,6,Virginia Tech
2000,7,Oregon
2000,8,Nebraska
2000,9,Kansas State
2000,10,Florida
2000,11,Michigan
2000,12,Texas
2000,13,Purdue
2000,14,Colorado State
2000,15,Notre Dame
2000,16,Clemson
2000,17,Georgia Tech
2000,18,Auburn
2000,19,South Carolina
2000,20,Georgia
2000,21,Texas Christian
2000,22,LSU
2000,23,Wisconsin
2000,24,Mississippi State
2000,25,Iowa State
2001,1,Miami (FL)
2001,2,Oregon
2001,3,Florida
2001,4,Tennessee
2001,5,Texas
2001,6,Oklahoma
2001,7,LSU
2001,8,Nebraska
2001,9,Colorado
2001,10,Washington State
2001,11,Maryland
2001,12,Illinois
2001,13,South Carolina
2001,14,Syracuse
2001,15,Florida State
2001,16,Stanford
2001,17,Louisville
2001,18,Virginia Tech
2001,19,Washington
2001,20,Michigan
2001,21,Boston College
2001,22,Georgia
2001,23,Toledo
2001,24,Georgia Tech
2001,25,Brigham Young
2002,1,Ohio State
2002,2,Miami (FL)
2002,3,Georgia
2002,4,USC
2002,5,Oklahoma
2002,6,Texas
2002,7,Kansas State
2002,8,Iowa
2002,9,Michigan
2002,10,Washington State
2002,11,Alabama
2002,12,North Carolina State
2002,13,Maryland
2002,14,Auburn
2002,15,Boise State
2002,16,Penn State
2002,17,Notre Dame
2002,18,Virginia Tech
2002,19,Pitt
2002,20,Colorado
2002,21,Florida State
2002,22,Virginia
2002,23,Texas Christian
2002,24,Marshall
2002,25,West Virginia
2003,1,USC
2003,2,LSU
2003,3,Oklahoma
2003,4,Ohio State
2003,5,Miami (FL)
2003,6,Michigan
2003,7,Georgia
2003,8,Iowa
2003,9,Washington State
2003,10,Miami (OH)
2003,11,Florida State
2003,12,Texas
2003,13,Ole Miss
2003,14,Kansas State
2003,15,Tennessee
2003,16,Boise State
2003,17,Maryland
2003,18,Purdue
2003,19,Nebraska
2003,20,Minnesota
2003,21,Utah
2003,22,Clemson
2003,23,Bowling Green State
2003,24,Florida
2003,25,Texas Christian
2004,1,USC
2004,2,Auburn
2004,3,Oklahoma
2004,4,Utah
2004,5,Texas
2004,6,Louisville
2004,7,Georgia
2004,8,Iowa
2004,9,California
2004,10,Virginia Tech
2004,11,Miami (FL)
2004,12,Boise State
2004,13,Tennessee
2004,14,Michigan
2004,15,Florida State
2004,16,LSU
2004,17,Wisconsin
2004,18,Texas Tech
2004,19,Arizona State
2004,20,Ohio State
2004,21,Boston College
2004,22,Fresno State
2004,23,Virginia
2004,24,Navy
2004,25,Pitt
2005,1,Texas
2005,2,USC
2005,3,Penn State
2005,4,Ohio State
2005,5,West Virginia
2005,6,LSU
2005,7,Virginia Tech
2005,8,Alabama
2005,9,Notre Dame
2005,10,Georgia
2005,11,Texas Christian
2005,12,Florida
2005,12,Oregon
2005,14,Auburn
2005,15,Wisconsin
2005,16,UCLA
2005,17,Miami (FL)
2005,18,Boston College
2005,19,Louisville
2005,20,Texas Tech
2005,21,Clemson
2005,22,Oklahoma
2005,23,Florida State
2005,24,Nebraska
2005,25,California
2006,1,Florida
2006,2,Ohio State
2006,3,LSU
2006,4,USC
2006,5,Boise State
2006,6,Louisville
2006,7,Wisconsin
2006,8,Michigan
2006,9,Auburn
2006,10,West Virginia
2006,11,Oklahoma
2006,12,Rutgers
2006,13,Texas
2006,14,California
2006,15,Arkansas
2006,16,Brigham Young
2006,17,Notre Dame
2006,18,Wake Forest
2006,19,Virginia Tech
2006,20,Boston College
2006,21,Oregon State
2006,22,Texas Christian
2006,23,Georgia
2006,24,Penn State
2006,25,Tennessee
2007,1,LSU
2007,2,Georgia
2007,3,USC
2007,4,Missouri
2007,5,Ohio State
2007,6,West Virginia
2007,7,Kansas
2007,8,Oklahoma
2007,9,Virginia Tech
2007,10,Texas
2007,10,Boston College
2007,12,Tennessee
2007,13,Florida
2007,14,Brigham Young
2007,15,Auburn
2007,16,Arizona State
2007,17,Cincinnati
2007,18,Michigan
2007,19,Hawaii
2007,20,Illinois
2007,21,Clemson
2007,22,Texas Tech
2007,23,Oregon
2007,24,Wisconsin
2007,25,Oregon State
2008,1,Florida
2008,2,Utah
2008,3,USC
2008,4,Texas
2008,5,Oklahoma
2008,6,Alabama
2008,7,Texas Christian
2008,8,Penn State
2008,9,Ohio State
2008,10,Oregon
2008,11,Boise State
2008,12,Texas Tech
2008,13,Georgia
2008,14,Ole Miss
2008,15,Virginia Tech
2008,16,Oklahoma State
2008,17,Cincinnati
2008,18,Oregon State
2008,19,Missouri
2008,20,Iowa
2008,21,Florida State
2008,22,Georgia Tech
2008,23,West Virginia
2008,24,Michigan State
2008,25,Brigham Young
2009,1,Alabama
2009,2,Texas
2009,3,Florida
2009,4,Boise State
2009,5,Ohio State
2009,6,Texas Christian
2009,7,Iowa
2009,8,Cincinnati
2009,9,Penn State
2009,10,Virginia Tech
2009,11,Oregon
2009,12,Brigham Young
2009,13,Georgia Tech
2009,14,Nebraska
2009,15,Pitt
2009,16,Wisconsin
2009,17,LSU
2009,18,Utah
2009,19,Miami (FL)
2009,20,Ole Miss
2009,21,Texas Tech
2009,22,USC
2009,23,Central Michigan
2009,24,Clemson
2009,25,West Virginia
2010,1,Auburn 
2010,2,Texas Christian 
2010,3,Oregon 
2010,4,Stanford 
2010,5,Ohio State 
2010,6,Oklahoma 
2010,7,Wisconsin 
2010,8,LSU 
2010,9,Boise State 
2010,10,Alabama 
2010,11,Nevada 
2010,12,Arkansas 
2010,13,Oklahoma State 
2010,14,Michigan State 
2010,15,Mississippi State 
2010,16,Virginia Tech 
2010,17,Florida State 
2010,18,Missouri 
2010,19,Texas A&M 
2010,20,Nebraska 
2010,21,UCF 
2010,22,South Carolina 
2010,23,Maryland 
2010,24,Tulsa 
2010,25,North Carolina State 
2011,1,Alabama 
2011,2,LSU 
2011,3,Oklahoma State 
2011,4,Oregon 
2011,5,Arkansas 
2011,6,USC 
2011,7,Stanford 
2011,8,Boise State 
2011,9,South Carolina 
2011,10,Wisconsin 
2011,11,Michigan State 
2011,12,Michigan 
2011,13,Baylor 
2011,14,Texas Christian 
2011,15,Kansas State 
2011,16,Oklahoma 
2011,17,West Virginia 
2011,18,Houston 
2011,19,Georgia 
2011,20,Southern Mississippi 
2011,21,Virginia Tech 
2011,22,Clemson 
2011,23,Florida State 
2011,24,Nebraska 
2011,25,Cincinnati 
2012,1,Alabama 
2012,2,Oregon 
2012,3,Ohio State 
2012,4,Notre Dame 
2012,5,Georgia 
2012,5,Texas A&M 
2012,7,Stanford 
2012,8,South Carolina 
2012,9,Florida 
2012,10,Florida State 
2012,11,Clemson 
2012,12,Kansas State 
2012,13,Louisville 
2012,14,LSU 
2012,15,Oklahoma 
2012,16,Utah State 
2012,17,Northwestern 
2012,18,Boise State 
2012,19,Texas 
2012,20,Oregon State 
2012,21,San Jose State 
2012,22,Northern Illinois 
2012,23,Vanderbilt 
2012,24,Michigan 
2012,25,Nebraska 
2013,1,Florida State 
2013,2,Auburn 
2013,3,Michigan State 
2013,4,South Carolina 
2013,5,Missouri 
2013,6,Oklahoma 
2013,7,Alabama 
2013,8,Clemson 
2013,9,Oregon 
2013,10,UCF 
2013,11,Stanford 
2013,12,Ohio State 
2013,13,Baylor 
2013,14,LSU 
2013,15,Louisville 
2013,16,UCLA 
2013,17,Oklahoma State 
2013,18,Texas A&M 
2013,19,USC 
2013,20,Notre Dame 
2013,21,Arizona State 
2013,22,Wisconsin 
2013,23,Duke 
2013,24,Vanderbilt 
2013,25,Washington 
2014,1,Ohio State 
2014,2,Oregon 
2014,3,Texas Christian 
2014,4,Alabama 
2014,5,Florida State 
2014,5,Michigan State 
2014,7,Baylor 
2014,8,Georgia Tech 
2014,9,Georgia 
2014,10,UCLA 
2014,11,Mississippi State 
2014,12,Arizona State 
2014,13,Wisconsin 
2014,14,Missouri 
2014,15,Clemson 
2014,16,Boise State 
2014,17,Ole Miss 
2014,18,Kansas State 
2014,19,Arizona 
2014,20,USC 
2014,21,Utah 
2014,22,Auburn 
2014,23,Marshall 
2014,24,Louisville 
2014,25,Memphis 
2015,1,Alabama 
2015,2,Clemson 
2015,3,Stanford 
2015,4,Ohio State 
2015,5,Oklahoma 
2015,6,Michigan State 
2015,7,Texas Christian 
2015,8,Houston 
2015,9,Iowa 
2015,10,Ole Miss 
2015,11,Notre Dame 
2015,12,Michigan 
2015,13,Baylor 
2015,14,Florida State 
2015,15,North Carolina 
2015,16,LSU 
2015,17,Utah 
2015,18,Navy 
2015,19,Oregon 
2015,20,Oklahoma State 
2015,21,Wisconsin 
2015,22,Tennessee 
2015,23,Northwestern 
2015,24,Western Kentucky 
2015,25,Florida 
2016,1,Clemson 
2016,2,Alabama 
2016,3,USC 
2016,4,Washington 
2016,5,Oklahoma 
2016,6,Ohio State 
2016,7,Penn State 
2016,8,Florida State 
2016,9,Wisconsin 
2016,10,Michigan 
2016,11,Oklahoma State 
2016,12,Stanford 
2016,13,LSU 
2016,14,Florida 
2016,15,Western Michigan 
2016,16,Virginia Tech 
2016,17,Colorado 
2016,18,West Virginia 
2016,19,South Florida 
2016,20,Miami (FL)
2016,21,Louisville 
2016,22,Tennessee 
2016,23,Utah 
2016,24,Auburn 
2016,25,San Diego State 
2017,1,Alabama 
2017,2,Georgia 
2017,3,Oklahoma 
2017,4,Clemson 
2017,5,Ohio State 
2017,6,UCF 
2017,7,Wisconsin 
2017,8,Penn State 
2017,9,Texas Christian 
2017,10,Auburn 
2017,11,Notre Dame 
2017,12,USC 
2017,13,Miami (FL)
2017,14,Oklahoma State 
2017,15,Michigan State 
2017,16,Washington 
2017,17,Northwestern 
2017,18,LSU 
2017,19,Mississippi State 
2017,20,Stanford 
2017,21,South Florida 
2017,22,Boise State 
2017,23,North Carolina State 
2017,24,Virginia Tech 
2017,25,Memphis 
