Pick,Player,Position,College
3,Heath Shuler,QB,Tennessee
6,Trent Dilfer,QB,Fresno State
111,Perry Klein,QB,C.W. Post
116,Doug Nussmeier,QB,Idaho
178,Jim Miller,QB,Michigan State
197,Gus Frerotte,QB,Tulsa
198,Jay Walker,QB,Howard
199,Steve Matthews,QB,Memphis
208,Glenn Foley,QB,Boston College
3,Steve McNair,QB,Alcorn State
5,Kerry Collins,QB,Penn State
45,Todd Collins,QB,Michigan
60,Kordell Stewart,QB,Colorado
80,Stoney Case,QB,New Mexico
84,Eric Zeier,QB,Georgia
99,Rob Johnson,QB,Southern California
111,Chad May,QB,Kansas State
119,Dave Barr,QB,California
134,Steve Stenstrom,QB,Stanford
160,Jay Barker,QB,Alabama
191,Jerry Colquitt,QB,Tennessee
197,Craig Whelihan,QB,Pacific
213,John Walsh,QB,Brigham Young
42,Tony Banks,QB,Michigan State
85,Bobby Hoying,QB,Ohio State
100,Jeff Lewis,QB,Northern Arizona
130,Danny Kanell,QB,Florida State
203,Spence Fischer,QB,Duke
205,Mike Cawley,QB,James Madison
238,Jon Stark,QB,Trinity (IL)
240,Kyle Wachholtz,QB,Southern California
26,Jim Druckenmiller,QB,Virginia Tech
42,Jake Plummer,QB,Arizona State
99,Danny Wuerffel,QB,Florida
110,Pat Barnes,QB,California
171,Mike Cherry,QB,Murray State
191,Chuck Clements,QB,Houston
204,Tony Graziani,QB,Oregon
207,Koy Detmer,QB,Colorado
234,Wally Richardson,QB,Penn State
237,Tony Corbin,QB,Sacramento State
240,Ronnie McAda,QB,Army
1,Peyton Manning,QB,Tennessee
2,Ryan Leaf,QB,Washington State
60,Charlie Batch,QB,Eastern Michigan
86,Jonathan Quinn,QB,Middle Tennessee State
91,Brian Griese,QB,Michigan
172,John Dutton,QB,Nevada
187,Matt Hasselbeck,QB,Boston College
232,Moses Moreno,QB,Colorado State
1,Tim Couch,QB,Kentucky
2,Donovan McNabb,QB,Syracuse
3,Akili Smith,QB,Oregon
11,Daunte Culpepper,QB,Central Florida
12,Cade McNown,QB,UCLA
50,Shaun King,QB,Tulane
77,Brock Huard,QB,Washington
101,Joe Germaine,QB,Ohio State
131,Aaron Brooks,QB,Virginia
151,Kevin Daft,QB,California-Davis
227,Michael Bishop,QB,Kansas State
239,Chris Greisen,QB,Northwest Missouri State
245,Scott Covington,QB,Miami
18,Chad Pennington,QB,Marshall
65,Giovanni Carmazzi,QB,Hofstra
75,Chris Redman,QB,Louisville
163,Tee Martin,QB,Tennessee
168,Marc Bulger,QB,West Virginia
183,Spergon Wynn,QB,Texas State
199,Tom Brady,QB,Michigan
202,Todd Husak,QB,Stanford
205,JaJuan Seider,QB,Florida A&M
212,Tim Rattay,QB,Louisiana Tech
214,Jarious Jackson,QB,Notre Dame
234,Joe Hamilton,QB,Georgia Tech
1,Michael Vick,QB,Virginia Tech
32,Drew Brees,QB,Purdue
53,Quincy Carter,QB,Georgia
59,Marques Tuiasosopo,QB,Washington
106,Chris Weinke,QB,Florida State
109,Sage Rosenfels,QB,Iowa State
125,Jesse Palmer,QB,Florida
149,Mike McMahon,QB,Rutgers
155,A.J. Feeley,QB,Oregon
172,Josh Booty,QB,Louisiana State
177,Josh Heupel,QB,Oklahoma
1,David Carr,QB,Fresno State
3,Joey Harrington,QB,Oregon
32,Patrick Ramsey,QB,Tulane
81,Josh McCown,QB,Sam Houston State
108,David Garrard,QB,East Carolina
117,Rohan Davey,QB,Louisiana State
137,Randy Fasani,QB,Stanford
158,Kurt Kittner,QB,Illinois
163,Brandon Doman,QB,Brigham Young
164,Craig Nall,QB,Northwestern State
186,J.T. O'Sullivan,QB,California-Davis
216,Seth Burford,QB,Cal Poly-S.L.O.
232,Jeff Kelly,QB,Southern Mississippi
236,Wes Pate,QB,Stephen F. Austin
1,Carson Palmer,QB,Southern California
7,Byron Leftwich,QB,Marshall
19,Kyle Boller,QB,California
22,Rex Grossman,QB,Florida
88,Dave Ragone,QB,Louisville
97,Chris Simms,QB,Texas
110,Seneca Wallace,QB,Iowa State
163,Brian St. Pierre,QB,Boston College
192,Drew Henson,QB,Michigan
200,Brooks Bollinger,QB,Wisconsin
201,Kliff Kingsbury,QB,Texas Tech
232,Gibran Hamdan,QB,Indiana
241,Ken Dorsey,QB,Miami
1,Eli Manning,QB,Mississippi
4,Philip Rivers,QB,North Carolina State
11,Ben Roethlisberger,QB,Miami (OH)
22,J.P. Losman,QB,Tulane
90,Matt Schaub,QB,Virginia
106,Luke McCown,QB,Louisiana Tech
148,Craig Krenzel,QB,Ohio State
185,Andy Hall,QB,Delaware
187,Josh Harris,QB,Bowling Green
193,Jim Sorgi,QB,Wisconsin
201,Jeff Smoker,QB,Michigan State
202,John Navarre,QB,Michigan
217,Cody Pickett,QB,Washington
218,Casey Bramlet,QB,Wyoming
225,Matt Mauck,QB,Louisiana State
248,B.J. Symons,QB,Texas Tech
250,Bradlee Van Pelt,QB,Colorado State
1,Alex Smith,QB,Utah
24,Aaron Rodgers,QB,California
25,Jason Campbell,QB,Auburn
67,Charlie Frye,QB,Akron
69,Andrew Walter,QB,Arizona State
85,David Greene,QB,Georgia
106,Kyle Orton,QB,Purdue
121,Stefan Lefors,QB,Louisville
145,Dan Orlovsky,QB,Connecticut
152,Adrian McPherson,QB,Florida State
213,Derek Anderson,QB,Oregon State
229,James Kilian,QB,Tulsa
230,Matt Cassel,QB,Southern California
250,Ryan Fitzpatrick,QB,Harvard
3,Vince Young,QB,Texas
10,Matt Leinart,QB,Southern California
11,Jay Cutler,QB,Vanderbilt
49,Kellen Clemens,QB,Oregon
64,Tarvaris Jackson,QB,Alabama State
81,Charlie Whitehurst,QB,Clemson
85,Brodie Croyle,QB,Alabama
148,Ingle Martin,QB,Furman
164,Omar Jacobs,QB,Bowling Green
193,Reggie McNeal,QB,Texas A&M
194,Bruce Gradkowski,QB,Toledo
223,D.J. Shockley,QB,Georgia
1,JaMarcus Russell,QB,Louisiana State
22,Brady Quinn,QB,Notre Dame
36,Kevin Kolb,QB,Houston
40,John Beck,QB,Brigham Young
43,Drew Stanton,QB,Michigan State
92,Trent Edwards,QB,Stanford
103,Isaiah Stanback,QB,Washington
151,Jeff Rowe,QB,Nevada
174,Troy Smith,QB,Ohio State
205,Jordan Palmer,QB,Texas-El Paso
217,Tyler Thigpen,QB,Coastal Carolina
3,Matt Ryan,QB,Boston College
18,Joe Flacco,QB,Delaware
56,Brian Brohm,QB,Louisville
57,Chad Henne,QB,Michigan
94,Kevin O'Connell,QB,San Diego State
137,John David Booty,QB,Southern California
156,Dennis Dixon,QB,Oregon
160,Josh Johnson,QB,San Diego
162,Erik Ainge,QB,Tennessee
186,Colt Brennan,QB,Hawaii
198,Andre' Woodson,QB,Kentucky
209,Matt Flynn,QB,Louisiana State
223,Alex Brink,QB,Washington State
1,Matthew Stafford,QB,Georgia
5,Mark Sanchez,QB,Southern California
17,Josh Freeman,QB,Kansas State
44,Pat White,QB,West Virginia
101,Stephen McGee,QB,Texas A&M
151,Rhett Bomar,QB,Sam Houston State
171,Nate Davis,QB,Ball State
174,Tom Brandstater,QB,Fresno State
178,Mike Teel,QB,Rutgers
196,Keith Null,QB,West Texas A&M
201,Curtis Painter,QB,Purdue
1,Sam Bradford,QB,Oklahoma
25,Tim Tebow,QB,Florida
48,Jimmy Clausen,QB,Notre Dame
85,Colt McCoy,QB,Texas
122,Mike Kafka,QB,Northwestern
155,John Skelton,QB,Fordham
168,Jonathan Crompton,QB,Tennessee
176,Rusty Smith,QB,Florida Atlantic
181,Dan LeFevour,QB,Central Michigan
199,Joe Webb,QB,Alabama-Birmingham
204,Tony Pike,QB,Cincinnati
209,Levi Brown,QB,Troy State
239,Sean Canfield,QB,Oregon State
250,Zac Robinson,QB,Oklahoma State
1,Cam Newton,QB,Auburn
8,Jake Locker,QB,Washington
10,Blaine Gabbert,QB,Missouri
12,Christian Ponder,QB,Florida State
35,Andy Dalton,QB,Texas Christian
36,Colin Kaepernick,QB,Nevada
74,Ryan Mallett,QB,Arkansas
135,Ricky Stanzi,QB,Iowa
152,T.J. Yates,QB,North Carolina
160,Nathan Enderle,QB,Idaho
180,Tyrod Taylor,QB,Virginia Tech
208,Greg McElroy,QB,Alabama
1,Andrew Luck,QB,Stanford
2,Robert Griffin III,QB,Baylor
8,Ryan Tannehill,QB,Texas A&M
22,Brandon Weeden,QB,Oklahoma State
57,Brock Osweiler,QB,Arizona State
75,Russell Wilson,QB,Wisconsin
88,Nick Foles,QB,Arizona
102,Kirk Cousins,QB,Michigan State
185,Ryan Lindley,QB,San Diego State
243,B.J. Coleman,QB,Tennessee-Chattanooga
253,Chandler Harnish,QB,Northern Illinois
16,E.J. Manuel,QB,Florida State
39,Geno Smith,QB,West Virginia
73,Mike Glennon,QB,North Carolina State
98,Matt Barkley,QB,Southern California
110,Ryan Nassib,QB,Syracuse
112,Tyler Wilson,QB,Arkansas
115,Landry Jones,QB,Oklahoma
221,Brad Sorensen,QB,Southern Utah
234,Zac Dysert,QB,Miami (OH)
249,Sean Renfree,QB,Duke
3,Blake Bortles,QB,Central Florida
22,Johnny Manziel,QB,Texas A&M
32,Teddy Bridgewater,QB,Louisville
36,Derek Carr,QB,Fresno State
62,Jimmy Garoppolo,QB,Eastern Illinois
135,Tom Savage,QB,Pittsburgh
163,Aaron Murray,QB,Georgia
164,A.J. McCarron,QB,Alabama
178,Zach Mettenberger,QB,Louisiana State
183,David Fales,QB,San Jose State
194,Keith Wenning,QB,Ball State
213,Tajh Boyd,QB,Clemson
214,Garrett Gilbert,QB,Southern Methodist
1,Jameis Winston,QB,Florida State
2,Marcus Mariota,QB,Oregon
75,Garrett Grayson,QB,Colorado State
89,Sean Mannion,QB,Oregon State
103,Bryce Petty,QB,Baylor
147,Brett Hundley,QB,UCLA
250,Trevor Siemian,QB,Northwestern
1,Jared Goff,QB,California
2,Carson Wentz,QB,North Dakota State
26,Paxton Lynch,QB,Memphis
51,Christian Hackenberg,QB,Penn State
91,Jacoby Brissett,QB,North Carolina State
93,Cody Kessler,QB,Southern California
100,Connor Cook,QB,Michigan State
135,Dak Prescott,QB,Mississippi State
139,Cardale Jones,QB,Ohio State
162,Kevin Hogan,QB,Stanford
187,Nate Sudfeld,QB,Indiana
191,Jake Rudock,QB,Michigan
201,Brandon Allen,QB,Arkansas
207,Jeff Driskel,QB,Louisiana Tech
223,Brandon Doughty,QB,Western Kentucky
2,Mitchell Trubisky,QB,North Carolina
10,Patrick Mahomes,QB,Texas Tech
12,Deshaun Watson,QB,Clemson
52,DeShone Kizer,QB,Notre Dame
87,Davis Webb,QB,California
104,C.J. Beathard,QB,Iowa
135,Joshua Dobbs,QB,Tennessee
171,Nathan Peterman,QB,Pittsburgh
215,Brad Kaaya,QB,Miami
253,Chad Kelly,QB,Mississippi
